Order_ID,Order_Date,Ship_Date,Ship_Mode,Ship_Speed,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit,Profit_Margin_Pct,Delivery_Days,Discount_Band,Order_Year,Order_Month,Order_Month_Name,Season,Is_Loss,Margin_Band,Sales_Bucket,Revenue_per_Unit,Profit_per_Unit,Discount_Amount
CA-2016-152156,08/11/2016,11/11/2016,Second Class,Standard,CG-12520,FUR-BO-10001798,261.96,2,0,41.9136,16,3,No Discount,2016,11,Nov,Fall,Profit,Medium (10-20%),Medium ($200-500),130.98,20.96,0
CA-2016-152156,08/11/2016,11/11/2016,Second Class,Standard,CG-12520,FUR-CH-10000454,731.94,3,0,219.582,30,3,No Discount,2016,11,Nov,Fall,Profit,High (>=20%),Large ($500-1K),243.98,73.19,0
CA-2016-138688,12/06/2016,16/06/2016,Second Class,Standard,DV-13045,OFF-LA-10000240,14.62,2,0,6.8714,47,4,No Discount,2016,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),7.31,3.44,0
US-2015-108966,11/10/2015,18/10/2015,Standard Class,Economy,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031,-40,7,High (41%+),2015,10,Oct,Fall,Loss,Loss,Large ($500-1K),191.52,-76.61,430.91
US-2015-108966,11/10/2015,18/10/2015,Standard Class,Economy,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164,11.25,7,Low (1-20%),2015,10,Oct,Fall,Profit,Medium (10-20%),Micro (<$50),11.18,1.26,4.47
CA-2014-115812,09/06/2014,14/06/2014,Standard Class,Economy,BH-11710,FUR-FU-10001487,48.86,7,0,14.1694,29,5,No Discount,2014,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),6.98,2.02,0
CA-2014-115812,09/06/2014,14/06/2014,Standard Class,Economy,BH-11710,OFF-AR-10002833,7.28,4,0,1.9656,27,5,No Discount,2014,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),1.82,0.49,0
CA-2014-115812,09/06/2014,14/06/2014,Standard Class,Economy,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152,10,5,Low (1-20%),2014,6,Jun,Summer,Profit,Medium (10-20%),Large ($500-1K),151.19,15.12,181.43
CA-2014-115812,09/06/2014,14/06/2014,Standard Class,Economy,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825,31.25,5,Low (1-20%),2014,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),6.17,1.93,3.7
CA-2014-115812,09/06/2014,14/06/2014,Standard Class,Economy,BH-11710,OFF-AP-10002892,114.9,5,0,34.47,30,5,No Discount,2014,6,Jun,Summer,Profit,High (>=20%),Small ($50-200),22.98,6.89,0
